Variable,Count,Percent
"Age (M, SD)",22.09 (2.46),
Age Group,,
  18-20,26,27.70%
  21-22,31,33.00%
  23-24,23,24.50%
  25-26,10,10.60%
  27-30,4,4.30%
Gender,,
  Female,52,55.30%
  Male,42,44.70%
Education Level,,
  Bachelor’s student,57,60.60%
  Master’s student,19,20.20%
  Employed (non-student),18,19.10%
Current Status,,
  Student,44,46.80%
  Both student and working,29,30.90%
  Working,21,22.30%
Screen Time,,
  4–6 hours,42,44.70%
  6–8 hours,26,27.70%
  2–4 hours,13,13.80%
  More than 8 hours,13,13.80%
Social Media Usage,,
  3–5 hours,46,48.90%
  1–3 hours,27,28.70%
  5–7 hours,12,12.80%
  Less than 1 hour,6,6.40%
  More than 7 hours,3,3.20%
Sleep Duration,,
  6–7 hours,57,60.60%
  7–8 hours,21,22.30%
  5–6 hours,12,12.80%
  More than 8 hours,4,4.30%
Phone Usage During Studying,,
  Sometimes,40,42.60%
  Often,28,29.80%
  Rarely,19,20.20%
  Always,6,6.40%
  Never,1,1.10%
Morning Check,,
  Yes,80,85.10%
  No,14,14.90%
