Отметка времени,Age (number only),Gender ,Level of education ,Current status ,  Average daily screen time  ,  Social media usage per day  ,  Phone usage during studying/working hours  ,  Most used apps (multiple choice)  ,  Do you check your phone within 5 minutes of waking up?  ,   I can focus on tasks for long periods without distraction  ,I often lose focus due to my smartphone ,I feel productive during my study/work sessions ,I tend to procrastinate using my phone ,I find it difficult to stay away from my phone during tasks ,  Average sleep duration  ,  Daily study/work hours  ,  Self-reported stress level  ,Do you believe smartphone usage affects your productivity?  ,Age
23.05.2026 13:31:16,21,Male,Bachelor’s student,Both student and working,2–4 hours,1–3 hours,Always,"Instagram, YouTube, Telegram",Yes,3,1,5,4,3,6–7 hours,1–3 hours,5,"Yes, negatively",21
23.05.2026 13:45:35,21,Female,Bachelor’s student,Student,4–6 hours,Less than 1 hour,Rarely,"YouTube, Telegram",Yes,4,1,4,3,1,5–6 hours,More than 5 hours,2,"Yes, positively",21
23.05.2026 17:52:07,20,Female,Bachelor’s student,Both student and working,6–8 hours,5–7 hours,Sometimes,"Instagram, TikTok, Telegram",Yes,3,4,3,3,3,7–8 hours,3–5 hours,1,Not sure,20
23.05.2026 17:53:14,20,Female,Bachelor’s student,Both student and working,6–8 hours,3–5 hours,Often,"Instagram, TikTok, YouTube, Telegram, WhatsApp",Yes,4,2,4,2,3,6–7 hours,More than 5 hours,4,"Yes, positively",20
23.05.2026 22:44:54,20,Female,Bachelor’s student,Both student and working,4–6 hours,1–3 hours,Sometimes,"Instagram, YouTube, WhatsApp",No,5,1,5,1,0,7–8 hours,3–5 hours,1,Not sure,20
24.05.2026 0:02:35,22,Male,Bachelor’s student,Student,More than 8 hours,5–7 hours,Always,"Instagram, TikTok, Telegram, WhatsApp",Yes,0,5,5,5,5,7–8 hours,3–5 hours,5,"Yes, positively",22
24.05.2026 0:05:31,25,Male,Master’s student,Student,4–6 hours,1–3 hours,Sometimes,"Instagram, TikTok",Yes,3,5,3,1,5,7–8 hours,3–5 hours,2,"Yes, negatively",25
24.05.2026 3:45:02,26,Female,Master’s student,Student,4–6 hours,5–7 hours,Often,Instagram,Yes,0,1,2,5,4,7–8 hours,1–3 hours,3,"Yes, negatively",26
24.05.2026 5:19:23,19,Female,Bachelor’s student,Student,More than 8 hours,More than 7 hours,Rarely,"Instagram, TikTok, YouTube",Yes,1,4,2,1,4,7–8 hours,1–3 hours,4,"Yes, negatively",19
24.05.2026 7:32:40,27,Female,Master’s student,Student,6–8 hours,3–5 hours,Often,"Instagram, YouTube",Yes,1,3,4,1,4,7–8 hours,More than 5 hours,2,"Yes, negatively",27
24.05.2026 12:20:48,21,Female,Bachelor’s student,Student,6–8 hours,Less than 1 hour,Never,"Instagram, TikTok, YouTube, Telegram, WhatsApp",Yes,1,2,1,1,1,5–6 hours,1–3 hours,1,No effect,21
24.05.2026 13:32:47,20,Male,Bachelor’s student,Both student and working,6–8 hours,3–5 hours,Sometimes,"Instagram, Telegram",Yes,5,1,5,2,3,6–7 hours,3–5 hours,1,"Yes, positively",20
24.05.2026 14:21:07,21,Male,Bachelor’s student,Both student and working,2–4 hours,1–3 hours,Often,"TikTok, YouTube, Other",Yes,3,2,4,4,1,6–7 hours,3–5 hours,2,"Yes, positively",21
24.05.2026 14:34:44,18,Male,Bachelor’s student,Both student and working,2–4 hours,5–7 hours,Often,"Instagram, TikTok, YouTube, Telegram, WhatsApp",Yes,1,4,4,4,4,5–6 hours,More than 5 hours,1,"Yes, positively",18
24.05.2026 14:35:42,19,Male,Bachelor’s student,Working,6–8 hours,More than 7 hours,Sometimes,"TikTok, YouTube, Telegram, WhatsApp",Yes,4,4,4,4,4,7–8 hours,3–5 hours,4,"Yes, negatively",19
24.05.2026 14:36:43,26,Male,Bachelor’s student,Both student and working,More than 8 hours,1–3 hours,Sometimes,"TikTok, YouTube, Telegram",Yes,5,0,5,0,0,More than 8 hours,More than 5 hours,3,Not sure,26
24.05.2026 14:36:47,20,Female,Bachelor’s student,Student,2–4 hours,1–3 hours,Always,"Instagram, YouTube, Telegram",No,3,3,3,1,2,6–7 hours,More than 5 hours,3,"Yes, positively",20
24.05.2026 14:43:15,22,Female,Bachelor’s student,Student,4–6 hours,3–5 hours,Often,"TikTok, YouTube, Telegram, WhatsApp",No,3,4,4,4,4,7–8 hours,3–5 hours,4,"Yes, negatively",22
24.05.2026 14:45:11,26,Female,Master’s student,Both student and working,2–4 hours,3–5 hours,Rarely,"TikTok, Telegram, WhatsApp",Yes,4,5,5,5,5,5–6 hours,1–3 hours,1,"Yes, positively",26
24.05.2026 14:47:25,20,Male,Bachelor’s student,Student,More than 8 hours,3–5 hours,Often,"Instagram, YouTube, Telegram, WhatsApp",Yes,3,5,5,3,4,7–8 hours,1–3 hours,5,"Yes, positively",20
24.05.2026 14:56:57,20,Male,Bachelor’s student,Student,4–6 hours,3–5 hours,Sometimes,"Instagram, Telegram",Yes,4,2,2,5,0,More than 8 hours,3–5 hours,0,"Yes, negatively",20
24.05.2026 14:58:22,20,Female,Bachelor’s student,Student,6–8 hours,3–5 hours,Sometimes,"Instagram, TikTok",Yes,3,3,3,3,3,More than 8 hours,3–5 hours,3,"Yes, positively",20
24.05.2026 14:58:23,20,Male,Bachelor’s student,Both student and working,More than 8 hours,5–7 hours,Always,"TikTok, YouTube",Yes,3,3,2,4,4,7–8 hours,1–3 hours,4,"Yes, positively",20
24.05.2026 14:59:53,20,Female,Bachelor’s student,Student,6–8 hours,5–7 hours,Sometimes,"TikTok, YouTube, Telegram",Yes,3,5,3,5,4,7–8 hours,3–5 hours,5,"Yes, positively",20
24.05.2026 15:00:21,20,Female,Bachelor’s student,Student,6–8 hours,3–5 hours,Sometimes,"Instagram, YouTube",Yes,3,5,5,5,3,7–8 hours,More than 5 hours,2,"Yes, negatively",20
24.05.2026 15:31:36,24,Male,Master’s student,Both student and working,4–6 hours,5–7 hours,Rarely,"TikTok, Telegram, Other",No,5,1,2,2,1,6–7 hours,More than 5 hours,2,Not sure,24
24.05.2026 15:51:22,26,Female,Employed (non-student),Working,More than 8 hours,3–5 hours,Sometimes,"TikTok, Telegram",Yes,4,2,5,1,2,6–7 hours,3–5 hours,2,No effect,26
24.05.2026 15:52:52,21,Male,Bachelor’s student,Student,6–8 hours,3–5 hours,Sometimes,"Instagram, TikTok, WhatsApp",Yes,3,2,3,3,3,5–6 hours,1–3 hours,4,Not sure,21
24.05.2026 20:59:00,21,Male,Bachelor’s student,Student,6–8 hours,3–5 hours,Always,"Instagram, TikTok, YouTube, Telegram, WhatsApp",Yes,5,4,4,4,3,5–6 hours,1–3 hours,4,No effect,21
24.05.2026 21:16:55,29,Female,Master’s student,Student,More than 8 hours,5–7 hours,Often,"Instagram, TikTok, YouTube, WhatsApp",Yes,1,4,2,2,4,7–8 hours,1–3 hours,4,"Yes, negatively",29
